,Book Title,Author
2668,Carter Beats The Devil,Glen David Gold
2669,The Merchant of Venice,William Shakespeare
2670,Le Bateau Ivre,Arthur Rimbaud
2671,Pushcart Prize Anthology,Pushcart Prize
2672,Nog,Rudy Wurlitzer
2673,The Works of George Peele,George Peele
2674,African Stories,Doris Lessing
2675,The Taming of the Shrew,William Shakespeare
2676,"Will You Please be Quiet, Please?",Raymond Carver
2677,The Beginning of Spring,Penelope Fitzgerald
2678,Swing Hammer Swing!,Jeff Torrington
2679,Bad Behavior: Stories,Mary Gaitskill
2680,The Blazing World,Siri Hustvedt
2681,The Queen of the Tambourine,Jane Gardam
2682,Twelve Bar Blues,Patrick Neate
2683,Collected Short Stories of Saki,Saki
2684,The Old Jest,Jennifer Johnston
2685,Blood Oranges,John Hawkes
2686,Leading the Cheers,Justin Cartwright
2687,Mythologies,Roland Barthes
2688,Docherty,William McIlvanney
2689,The Tenderness of Wolves,Stef Penney
2690,Every Man for Himself,Beryl Bainbridge
2691,Dangerous Laughter,Steven Millhauser
2692,The Spirit Level,Seamus Heaney
2693,How Far Can You Go?,David Lodge
2694,The Coup,John Updike
2695,Time's Arrow,Martin Amis
2696,Sexual Perversity in Chicago,David Mamet
2697,Tragic Magic,Wesley Brown
2698,The Continental Op,Dashiell Hammett
2699,Plainsong,Kent Haruf
2700,Collected Poems 1912-1944,Hilda Doolittle
2701,Einstein's Dreams,Alan Lightman
2702,"Foliage: Or, Poems Original and Translated",Leigh Hunt
2703,"130 ""best of"" book lists",list details page
2704,The Comforts of Madness,Paul Sayer
2705,Native American Folktales,Thomas A. Green
2706,On the Bus with Rosa Parks,Rita Dove
2707,The Collected Works,Kahlil Gibran
2708,The Ice Storm: A Novel,Rick Moody
2709,Flowering Judas and Other Stories,Katherine Anne Porter
2710,Man in the Holocene,Max Frisch
2711,"Henry IV, Part I",William Shakespeare
2712,"Brown Girl, Brownstones",Paule Marshall
2713,Spies,Michael Frayn
2714,"I, etcetera",Susan Sontag
2715,The Child in Time,Ian McEwan
2716,Lolly Willowes,Sylvia Townsend Warner
2717,The Complete Short Stories of Jack London,Jack London
2718,The Pure and the Impure,Colette
2719,Extremely Loud and Incredibly Close,Jonathan Safran Foer
2720,Speedboat,Renata Adler
2721,Women,Charles Bukowski
2722,The Oranging of America,Max Apple
2723,Sybil: Or The Two Nations,Benjamin Disraeli
2724,The Epicure's Lament,Kate Christensen
2725,Selected Poems of Gabriela Mistral,Gabriela Mistral
2726,Selected Poems,Andrew Marvell
2727,The Dyskolos,Menander
2728,The Collected Short Stories of Maxim Gorky,Maxim Gorky
2729,The Tragical History of Doctor Faustus,Christopher Marlowe
2730,Kabbalah,Unknown
2731,Geek Love: A Novel,Katherine Dunn
2732,The Yiddish Policemen's Union,Michael Chabon
2733,If: A Father's Advice to His Son,Rudyard Kipling
2734,A Single Man,Christopher Isherwood
2735,The Chip Chip Gatherers,Shiva Naipaul
2736,I Loved You More,Tom Spanbauer
2737,"The Hunting of the Snark: An Agony, in Eight Fits",Lewis Carroll
2738,The Cunning Man,Robertson Davies
2739,Advertisements for Myself,Norman Mailer
2740,Pure,Andrew Miller
2741,The Shawl,Cynthia Ozick
