,Book Title,Author
1422,Fantômas, Marcel Allain
1423,The Butcher Boy, Patrick McCabe
1424,The Apes of God, Wyndham Lewis
1425,Legend,David Gemmell
1426,The Young Man,Botho Strauß
1427,Eva Trout,Elizabeth Bowen
1428,"130 ""best of"" book lists",list details page
1429,Half of Man is Woman,Zhang Xianliang
1430,The Monk,Matthew Lewis
1431,Hawksmoor,Peter Ackroyd
1432,Murder Must Advertise,Dorothy L Sayers
1433,Celestial Harmonies,Peter Esterhazy
1434,To Each His Own,Leonardo Sciascia
1435,Joseph and His Brothers,Thomas Mann
1436,Castle Rackrent,Maria Edgeworth
1437,La Bête humaine,Émile Zola
1438,Faces In The Water,Janet Frame
1439,Inland,Gerald Murnane
1440,Pierre et Jean,Guy de Maupassant
1441,Tent of Miracles,Jorge Amado
1442,The Case of Comrade Tulayev,Victor Serge
1443,Vathek, William Beckford
1444,The Passion According to G.H.,Clarice Lispector
1445,The Island of Doctor Moreau,H. G. Wells
1446,Nana,Émile Zola
1447,Blind Man with a Pistol,Chester Himes
1448,The Elegance of the Hedgehog,Muriel Barbery
1449,A Pale View of Hills,Kazuo Ishiguro
1450,The Midwich Cuckoos,John Wyndham
1451,Senilità,Italo Svevo
1452,Memories of Rain,Sunetra Gupta
1453,Veronika Decides to Die,Paulo Coelho
1454,All Souls,Javier Marías
1455,Pilgrimage,Dorothy Richardson
1456,On Love,Alain de Botton
1457,Arcadia,Jim Crace
1458,Lives of Girls and Women,Alice Munro
1459,Manon des sources,Marcel Pagnol
1460,Nowhere Man,Aleksandar Hemon
1461,The Back Room,Carmen Martín Gaite
1462,Heinrich of Ofterdingen,Novalis
1463,The Life of Insects,Victor Pelevin
1464,Fear of Flying, Erica Jong
1465,Broken April,Ismail Kadare
1466,Things: A Story of the Sixties,Georges Perec
1467,Down There,J. K. Huysmans
1468,The Last Temptation of Christ,Nikos Kazantzakis
1469,Eline Vere, Louis Couperus
1470,A Question of Power,Bessie Head
1471,The Manor,Isaac Bashevis Singer
1472,Adam Bede,George Eliot
1473,Cheese, Willem Elsschot
1474,Tirant Lo Blanc,Unkown
1475,The Castle of Crossed Destinies,Italo Calvino
1476,Life and Death of Harriett Frean,May Sinclair
1477,Dictionary of the Khazars,Milorad Pavic
1478,Broad and Alien is the World,Ciro Alegría
1479,"130 ""best of"" book lists",list details page
1480,Silence,Shusaku Endo
1481,The Hothouse,Wolfgang Koeppen
1482,The Twins, Tessa De Loo
1483,The Bridge on the Drina, Ivo Andrić
1484,Paradise of the Blind,Dương Thu Hương
1485,Martín Fierro, José Hernández
1486,Evelina,Fanny Burney
1487,The 120 Days of Sodom,Marquis de Sade
1488,The Devil's Pool, George Sand
1489,To the North,Elizabeth Bowen
1490,Quartet in Autumn,Barbara Pym
1491,The Melancholy of Resistance,László Krasznahorkai
1492,Crome Yellow,Aldous Huxley
1493,Cain,José Saramago
1494,A Sentimental Journey Through France and Italy,Laurence Sterne
1495,The Summer Book,Tove Jansson
1496,The End of the Story,Lydia Davis
1497,Time of Silence, Luis Martín-Santos
1498,"Here's to You, Jesusa!",Elena Poniatowska
1499,A Kestrel for a Knave, Barry Hines
1500,No Laughing Matter,Angus Wilson
1501,Carry Me Down,M.J. Hyland
1502,The Beautiful Mrs. Seidenman,Andrzej Szczypiorski
1503,The Black Dahlia,James Ellroy
1504,The Travels of Persiles and Sigismunda,Miguel de Cervantes
1505,Life of Christ, Giovanni Papini
1506,Lady Number Thirteen,José Carlos Somoza
1507,King Lear of the Steppes,Ivan Turgenev
1508,A Boy's Own Story,Edmund White
1509,"Kieron Smith, Boy",James Kelman
1510,Dirk Gently's Holistic Detective Agency,Douglas Adams
1511,The Engineer of Human Souls,Josef Škvorecký
1512,The Sound of Waves,Yukio Mishima
1513,Typical: Stories, Padgett Powell
1514,Inside Mr. Enderby,Anthony Burgess
1515,On the Black Hill,Bruce Chatwin
1516,Death in Rome,Wolfgang Koeppen
1517,The Glass Bees,Ernst Jünger
1518,Amadis of Gaul,Unkown
1519,The Return of the Soldier,Rebecca West
1520,Bosnian Chronicle, Ivo Andrić
1521,The Quest,Frederik van Eeden
1522,Bébo's Girl,Carlo Cassola
1523,The Dead Father,Donald Barthelme
1524,Marius the Epicurean, Walter Pater
1525,Retreat Without Song,Shahan Shahnour
1526,Solaris,Stanisław Lem
1527,Clear Light of Day,Anita Desai
1528,Taebaek Sanmaek,Jo Jung-rae
1529,Drunkard,Émile Zola
1530,"130 ""best of"" book lists",list details page
1531,The Guiltless,Hermann Broch
1532,The Sea of Fertility,Yukio Mishima
1533,The Cider House Rules,John Irving
1534,Claudine,Colette
1535,The Lion of Flanders, Hendrik Conscience
1536,"One, No One and One Hundred Thousand",Luigi Pirandello
1537,The Floating Opera,John Barth
1538,The Graduate, Charles Webb
1539,The Mysteries of Udolpho,Ann Radcliffe
1540,The River Between,Ngugi wa Thiong'o
1541,The Autumn of the Patriarch,Gabriel Garcia Marquez
1542,The Lost Language of Cranes,David Leavitt
1543,The Expedition of Humphry Clinker,Tobias Smollett
1544,"Love in Excess; or, The Fatal Enquiry",Eliza Haywood
1545,Baltasar and Blimunda,José Saramago
1546,Burger's Daughter,Nadine Gordimer
1547,I'm Not Scared,Niccolò Ammaniti
1548,Hell, Henri Barbusse
1549,The Female Quixote, Charlotte Lennox
1550,The Shadow Lines,Amitav Ghosh
1551,Larva: Midsummer Night's Babel,Julián Ríos
1552,Moscow-Petushki,Venedikt Yerofeev
1553,Four Quartets,T. S. Eliot
1554,Family Life,Akhil Sharma
1555,What Belongs to You,Garth Greenwell
1556,Winter's Bone,Daniel Woodrell
1557,Honored Guest,Joy Williams
1558,Magic for Beginners,Kelly Link
1559,Out Stealing Horses,Per Petterson
1560,The Intuitionist: A Novel,Colson Whitehead
1561,The Ghost Road,Pat Barker
1562,House Made of Dawn,N. Scott Momaday
1563,Remainder,Tom McCarthy
1564,Lincoln in the Bardo,George Saunders
1565,The Alienist,Caleb Carr
1566,Talk Before Sleep,Elizabeth Berg
1567,Rubyfruit Jungle,Rita Mae Brown
1568,Tree of Smoke,Denis Johnson
1569,The Education of Little Tree,Forrest Carter
1570,The Last Samurai,Helen DeWitt
1571,The Chaneysville Incident,David Bradley
1572,Netherland,Joseph O'Neill
1573,Black Beauty: The Autobiography of a Horse,Anna Sewell
1574,White Fang,Jack London
1575,Bring Up the Bodies: A Novel,Hilary Mantel
1576,The Nickel Boys,Colson Whitehead
1577,The Magic Barrel,Bernard Malamud
1578,Dombey and Son,Charles Dickens
1579,"Captain Hornblower R.N.: Hornblower and the 'Atropos', The Happy Return, A Ship of the Line",C S Forester
1580,The Little Stranger,Sarah Waters
1581,"130 ""best of"" book lists",list details page
1582,The Lovely Bones,Alice Sebold
1583,Collected Poems of Ted Hughes,Ted Hughes
1584,Europe Central,William T. Vollmann
1585,The Martian,Andy Weir
1586,Jurassic Park,Michael Crichton
1587,Fifty Shades of Grey: ,E L James
1588,The Help,Kathryn Stockett
1589,The Bone People,Keri Hulme
1590,The Beautiful and Damned ,F. Scott Fitzgerald
1591,The Collected Plays of W.B. Yeats,William Butler Yeats
1592,Dreamtigers,Jorge Luis Borges
1593,Monsignor Quixote,Graham Greene
1594,Carrie,Stephen King
1595,Vendor Of Sweeets,R. K. Narayan
1596,Tender Buttons,Gertrude Stein
1597,Eight Men: Short Stories,Richard Wright
1598,Short Friday: And Other Stories,Isaac Bashevis Singer
1599,Open Secrets: Stories,Alice Munro
1600,The Eustace Diamonds,Anthony Trollope
1601,The Bone is Pointed: An Inspector Bonaparte Mystery #6 ,Arthur William Upfield
1602,My Book House,Olive Beaupré Miller
1603,Mysteries,Knut Hamsun
1604,The Innocence of Father Brown,G. K. Chesterton
1605,The Complete Works of Nathanael West,Nathanael West
1606,The Portable Faulkner,William Faulkner
1607,Amelia,Henry Fielding
1608,The School for Wives,Molière
1609,The Would-Be Invalid,Molière
1610,The Snowy Day,Ezra Jack Keats
1611,Strange Fruit,Lillian Smith
1612,The Negro Caravan: Writings by American Negroes,Sterling Allen Brown
1613,Death of a Lake,Arthur William Upfield
1614,The Poorhouse Fair: A Novel,John Updike
1615,The Complete Plays of T. S. Eliot,T. S. Eliot
1616,The Seance and Other Stories,Isaac Bashevis Singer
1617,The Cat in the Hat,Dr. Seuss
1618,The Richard Trilogy,Paul Horgan
1619,Requiem,Anna Akhmatova
1620,Women in Their Beds,Gina Berriault
1621,Mother Courage and Her Children,Bertolt Brecht
1622,Herland,Charlotte Perkins Gilman
1623,"Horseman, Pass By: A Novel",Larry McMurtry
1624,Confessions of a Mask,Yukio Mishima
1625,Renascence and Other Poems,Edna St. Vincent Millay
1626,The Collected Stories of Katherine Anne Porter,Katherine Anne Porter
1627,The Fortunes Of Richard Mahony,Henry Handel Richardson
1628,Peyton Place,Grace Metalious
1629,War Poems of Siegfried Sassoon,Siegfried Sassoon
1630,The Bride Price,Buchi Emecheta
1631,Billy Bathgate,E. L. Doctorow
1632,"130 ""best of"" book lists",list details page
1633,Shahnameh,Ferdowsi
1634,A Rose for Emily,William Faulkner
1635,The Times Are Never So Bad: A Novella and Eight Short Stories,Andre Dubus
1636,The Short Happy Life of Francis Macomber,Ernest Hemingway
1637,Milkman,Anna Burns
1638,The Loneliness of the Long-distance Runner,Alan Sillitoe
1639,The Would-Be Gentleman,Molière
1640,The Prince and the Pauper: A Tale for Young People of All Ages,Mark Twain
1641,Dark symphony: Negro literature in America,James A. Emanuel (Comp)
1642,Walden Two,B. F. Skinner
1643,Guerrillas,V. S. Naipaul
1644,Body Rags,Galway Kinnell
1645,Don Juan,Molière
1646,Alcestis,Euripides
1647,The Prussian Officer,D. H. Lawrence
1648,Best of Simple,Langston Hughes
1649,The Beast in the Jungle,Henry James
1650,The March,E. L. Doctorow
1651,Shadows on the Rock,Willa Cather
1652,Of Time and the River: A Legend of Man's Hunger in His Youth,Thomas Wolfe
1653,The Inimitable Jeeves,P. G. Wodehouse
1654,The Blithedale Romance,Nathaniel Hawthorne
1655,The Iceman Cometh,Eugene O'Neill
1656,Beauty and Sadness,Yasunari Kawabata
1657,The Miser,Molière
1658,The Age of Anxiety,W. H. Auden
1659,The Wild Swans at Coole,William Butler Yeats
1660,Burmese Days,George Orwell
1661,"Sarah, Plain and Tall",Patricia MacLachlan
1662,The Plum in the Golden Vase,Anonymous
1663,Improvement,Joan Silber
1664,The English Teacher,R. K. Narayan
1665,The Mysterious Affair at Styles,Agatha Christie
1666,Augustus,John Williams
1667,Follow the River,James Alexander Thom
1668,Haroun and the Sea of Stories,Salman Rushdie
1669,In the Time of the Butterflies,Julia Alvarez
1670,The Jewel In The Crown,Paul Scott
1671,Flicker,Theodore Roszak
1672,The Merry Adventures of Robin Hood,Howard Pyle
1673,A Legacy,Sybille Bedford
1674,In the Heart of the Heart of the Country,William H. Gass
1675,The Executioner's Song,Norman Mailer
1676,A Wild Sheep Chase,Haruki Murakami
1677,The Memoirs of a Survivor,Doris May Lessing
1678,Northern Lights,Philip Pullman
1679,Dog,Kerstin Ekman
1680,The Dwarf,Par Lagerkvist
1681,The Book-Dealer Who Ceased Bathing,Fritiof Nilsson Piraten
1682,Second-class Citizen,Buchi Emecheta
1683,"130 ""best of"" book lists",list details page
1684,The Man Without a Way,Erik Lindegren
1685,The Emperor of Portugallia,Selma Lagerlöf
1686,The Emigrants,Vilhelm Moberg
1687,Rhythms,Harry Martinson
1688,They Burn the Thistles,Yaşar Kemal
1689,Collected Poems,Nils Ferlin
1690,The Early Stories,John Updike
1691,The Road to Klockrike,Harry Martinson
1692,Barefoot,Zaharia Stancu
1693,Samuels bok,Sven Delblanc
1694,Stockholm series,Per Anders Fogelström
1695,After the Flood,P. C. Jersild
1696,"Mio, My Son",Astrid Lindgren
1697,The Days of His Grace,Eyvind Johnson
1698,Bathsheba,Torgny Lindgren
1699,The Baron in the Trees,Italo Calvino
1700,The Long Ships,Frans G. Bengtsson
1701,The Women's Room,Marilyn French
1702,The Serious Game,Hjalmar Soderberg
1703,Kallocain,Karin Boye
1704,The bells of Bicêtre,Georges Simenon
1705,Hotel du Lac,Anita Brookner
1706,Doctor Glas,Hjalmar Soderberg
1707,The Werewolf,Aksel Sandemose
1708,The Queen's Tiara,Carl Jonas Love Almquist
1709,Flowering Nettle,Harry Martinson
1710,The Wind on the Moon,Eric Linklater
1711,The Czar's Madman,Jaan Kross
1712,Bridge to Terabithia,Katherine Paterson
1713,Death Of A Salesman,Arthur Miller
1714,Prufrock and Other Observations,T. S. Eliot
1715,The Power of One,Bryce Courtenay
1716,Point Counter Point,Aldous Huxley
1717,The Voyages of Doctor Dolittle,Hugh Lofting
1718,The Little Engine that Could,Platt & Munk
1719,The Song of Hiawatha,Henry Wadsworth Longfellow
1720,Forever: A Novel,Pete Hamill
1721,The Scarlet Plague,Jack London
1722,Miss Susie Slagle's,Augusta Tucker
1723,Story of Ferdinand,Munro Leaf
1724,The Little Grey Men,B B
1725,Edmund Dulac's Fairy-Book,Edmund Dulac
1726,The Island Within,Ludwig Lewisohn
1727,The Warlord of Mars,Edgar Rice Burroughs
1728,Miss Pickerell Goes to Mars,Ellen Macgregor
1729,Smoky the Cowhorse,Will James
1730,The Cloister and the Hearth,Charles Reade
1731,The Moon is Down,John Steinbeck
1732,Snow Flower and the Secret Fan,Lisa See
1733,Persepolis Two,Marjane Satrapi
1734,"130 ""best of"" book lists",list details page
1735,The Secret Garden,Frances Hodgson Burnett
1736,Busman’s Honeymoon,Dorothy L Sayers
1737,The Moon is a Harsh Mistress,Robert A. Heinlein
1738,Baudolino,Umberto Eco
1739,The Poetry of Ezra Pound,Ezra Pound
1740,Affliction,Russell Banks
1741,Chronicle of a Death Foretold,Gabriel Garcia Marquez
1742,Leaving the Atocha Station,Ben Lerner
1743,Obasan,Joy Kogawa
1744,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells
1745,Tenth of December,George Saunders
1746,Mason & Dixon,Thomas Pynchon
1747,Girl in Hyacinth Blue,Susan Vreeland
1748,Wise Children,Angela Carter
1749,Ice-Candy-Man,Bapsi Sidhwa
1750,Riders,Jilly Cooper
1751,The House at Pooh Corner,A. A Milne
1752,American Gods,Neil Gaiman
1753,The Commitments,Roddy Doyle
1754,The Black Book,Orhan Pamuk
1755,The Seventh Cross,Anna Seghers
1756,The Real Life of Sebastian Knight,Vladimir Nabokov
1757,Happy Moscow,Andrey Platonov
1758,Knots and Crosses: An Inspector Rebus Novel,Ian Rankin
1759,Emily of New Moon,L. M. Montgomery
1760,First Love,Ivan Turgenev
1761,Diary of a Wimpy Kid,Jeff Kinney
1762,Poems of Alfred Lord Tennyson,Alfred Lord Tennyson
1763,V for Vendetta,Alan Moore
1764,The Three-Arched Bridge,Ismail Kadare
1765,The Story of Tracy Beaker,Jacqueline Wilson
1766,Ballet Shoes,Noel Streatfeild
1767,Home Fire,Kamila Shamsie
1768,Another Country,Karel Schoeman
1769,August 1914,Aleksandr Isaevich Solzhenit︠s︡yn
1770,Goodnight Mister Tom,Michelle Magorian
1771,La Saga/ Fuga de J. B./ The Saga/ Escape of J.B.,Gonzalo Torrente Ballester
1772,Forever...,Judy Blume
1773,Astonishing the Gods,Ben Okri
1774,City of Bohane,Kevin Barry
1775,Édes Anna,Dezső Kosztolányi
1776,Siebenkäs,Jean Paul
1777,Journey by Moonlight,Antal Szerb
1778,The Stone Raft,José Saramago
1779,The Worst Witch,Jill Murphy
1780,The Kalevala,Elias Lönnrot
1781,The Enchanted Wood,Enid Blyton
1782,The Years with Laura Diaz,Carlos Fuentes
1783,Stories of Adalbert Stifter,Adalbert Stifter
1784,Track,Ernst Bloch
1785,"130 ""best of"" book lists",list details page
1786,The Garlic Ballads: A Novel,Yan Mo
1787,The Collected Songs of Cold Mountain,Han Shan
1788,Schatzkästlein des Rheinischen Hausfreundes,Johann Peter Hebel
1789,My City: A Hong Kong Story,Xi Xi
1790,The Boy in the Striped Pyjamas,John Boyne
1791,"Psmith, Journalist",P. G. Wodehouse
1792,Habibi,Craig Thompson
1793,The Tiger Who Came to Tea ,Judith Kerr
1794,The Golden Compass,Philip Pullman
1795,Strumpet City,James Plunkett
1796,The Counterlife,Philip Roth
1797,Cutting for Stone,Abraham Verghese
1798,The Gift,Vladimir Nabokov
1799,"Memed, My Hawk",Yashar Kemal
1800,Stories from the Lord Keuner,Dieter Wöhrle
1801,The Half Brother: A Novel,Lars Saabye Christensen
1802,The Book of Songs,China
1803,The Very Hungry Caterpillar,Eric Carle
1804,Stories,Heinrich von Kleist
1805,Soul and Other Stories,Andrey Platonov
1806,The Collected Stories of Heinrich Boll,Heinrich Böll
1807,The Rings of Saturn,W. G. Sebald
1808,Operation Shylock,Philip Roth
1809,Count Julian,Juan Goytisolo
1810,We're Going on a Bear Hunt,Michael Rosen
1811,Italian Folktales,Italo Calvino
1812,The Far Pavilions,M. M. Kaye
1813,Identity: A Novel,Milan Kundera
1814,The Lonely Passion of Judith Hearne,Brian Moore
1815,The Sorrow Of War,Bao Ninh
1816,"The Tootinameh; Or, Tales of a Parrot",India
1817,Golden Child,Claire Adam
1818,The Old Curiosity Shop,Charles Dickens
1819,Artemis Fowl,Eoin Colfer
1820,Henry V,William Shakespeare
1821,Dissolution: A Shardlake Novel,C. J. Sansom
1822,Lenz,Georg Buchner
1823,Somersault,Kenzaburō Ōe
1824,A Series of Unfortunate Events #1: The Bad Beginning,Lemony Snicket
1825,American War,Omar El Akkad
1826,"Breath, Eyes, Memory",Edwidge Danticat
1827,The Witches,Roald Dahl
1828,The Burn: A Novel in Three Books : (late Sixties--early Seventies),Vassily Aksyonov
1829,Sudelbücher,Georg Christoph Lichtenberg
1830,Cloudstreet,Tim Winton
1831,Poor Cow,Nell Dunn
1832,Valley of the Dolls,Jacqueline Susann
1833,Much Ado about Nothing,William Shakespeare
1834,"And where Were You, Adam?",Heinrich Böll
1835,Soul Mountain,Xingjian Gao
1836,"130 ""best of"" book lists",list details page
1837,Antiworlds,Andrey Voznesensky
1838,Life and Fate,Vasily Grossman
1839,The Gruffalo,Julia Donaldson
1840,The Return and Other Stories,Andrey Platonov
1841,Mr Standfast,John Buchan
1842,Stormbreaker,Anthony Horowitz
1843,The Dog Star,Agneta Pleijel
1844,"Percy Jackson and the Olympians, Book One: Lightning Thief, The",Rick Riordan
1845,A Tomb for Boris Davidovich,Danilo Kiš
1846,The Dancing Girl of Izu and Other Stories,Yasunari Kawabata
1847,The Skeleton,Amrita Pritam
1848,"Abu Telfan, Return from the Mountains of the Moon",Wilhelm Karl Raabe
1849,Le Roman de la Rose,Guillaume (de Lorris)
1850,Querelle,Jean Genet
1851,The Royal Physician's Visit: A Novel,Per Olov Enquist
1852,Kaputt,Curzio Malaparte
1853,Swami and Friends,R. K. Narayan
1854,The Forty Rules of Love,Elif Shafak
1855,The Loyal Subject,Heinrich Mann
1856,Teahouse,Lao She
1857,Where the Sidewalk Ends,Shel Silverstein
1858,Living Up The Street,Gary Soto
1859,What We Talk About When We Talk About Love,Raymond Carver
1860,A Patchwork Planet,Anne Tyler
1861,Sold,Patricia McCormick
1862,Shogun,James Clavell
1863,Nightmare Abbey ,Thomas Love Peacock
1864,Before We Were Free,Julia Alvarez
1865,Erasure,Percival Everett
1866,All My Puny Sorrows,Miriam Toews
1867,Zone One,Colson Whitehead
1868,Ooga-Booga,Frederick Seidel
1869,Veronica,Mary Gaitskill
1870,The Particular Sadness of Lemon Cake,Aimee Bender
1871,The Possessed,Elif Batuman
1872,Mr. Fox,Helen Oyeyemi
1873,White Girls,Hilton Als
1874,Do Everything in the Dark,Gary Indiana
1875,Lives Other Than My Own,Emmanuel Carrère
1876,Black and Blur,Fred Moten
1877,The Bonesetter's Daughter,Amy Tan
1878,Under Western Eyes,Joseph Conrad
1879,Dawn,Elie Wiesel
1880,Dreaming in Cuban,Cristina García
1881,Misery,Stephen King
1882,The Phantom of the Opera,Gaston Leroux
1883,Purple Hibiscus,Chimamanda Ngozi Adichie
1884,"Ties That Bind, Ties That Break",Lensey Namioka
1885,Fried Green Tomatoes,Fannie Flagg
1886,Tisha,Robert Specht
1887,"130 ""best of"" book lists",list details page
1888,A Book of Luminous Things,Czesław Miłosz
1889,Christy,Catherine Marshall
1890,The Book of Salt,Monique Truong
1891,The Hate U Give,Angie Thomas
1892,Ghachar Ghochar,Vivek Shanbhag
1893,A Constellation of Vital Phenomena: A Novel,Anthony Marra
1894,Wizard of the Crow,Ngugi wa Thiong'o
1895,Taipei,Tao Lin
1896,The MaddAddam Trilogy,Margaret Atwood
1897,Oblivion: Stories,David Foster Wallace
1898,Capital,John Lanchester
1899,Spreadeagle,Kevin Killian
1900,Seven Years,Peter Stamm
1901,The Broken Earth Trilogy,N. K. Jemisin
1902,The Lazarus Project,Aleksandar Hemon
1903,The Sluts,Dennis Cooper
1904,Red Clocks,Leni Zumas
1905,The Time of Our Singing,Richard Powers
1906,The Needle's Eye,Fanny Howe
1907,The Last Report on the Miracles at Little No Horse: A Novel,Louise Erdrich
1908,Eat the Document,Dana Spiotta
1909,Super Sad True Love Story,Gary Shteyngart
1910,Boyhood: Scenes from provincial life,J M Coetzee
1911,The Largesse of the Sea Maiden: Stories,Denis Johnson
1912,Notes from No Man's Land: American Essays,Eula Biss
1913,Home Land,Sam Lipsyte
1914,Sleeping It Off in Rapid City,August Kleinzahler
1915,All Grown Up,Jami Attenberg
1916,Fine Just the Way It Is,Annie Proulx
1917,The No. 1 Ladies' Detective Agency,Alexander McCall Smith
1918,Retold African American Folktales,David Haynes
1919,Tobacco Road,Erskine Caldwell
1920,Boy's Life,Robert R. McCammon
1921,Born Confused,Tanuja Desai Hidier
1922,Chesapeake,James A. Michener
1923,Chanda's Secrets,Allan Stratton
1924,How Green Was My Valley,Richard Llewellyn
1925,Enormous Changes at the Last Minute,Grace Paley
1926,City of the Beasts,Isabel Allende
1927,The Ginger Man,J. P. Donleavy
1928,Crow Lake,Mary Lawson
1929,Bread Givers: A Novel : a Struggle Between a Father of the Old World and a Daughter of the New,Anzia Yezierska
1930,Anil's Ghost,Michael Ondaatje
1931,The Talisman,Sir Walter Scott
1932,"He, She and It",Marge Piercy
1933,Selected Poems II: 1976 - 1986,Margaret Atwood
1934,A Dog's Purpose,W. Bruce Cameron
1935,Through the Language Glass: Why the World Looks Different in Other Languages,Guy Deutscher
1936,Collected Poems,Allen Ginsberg
1937,Darkness Spoken: The Collected Poems,Ingeborg Bachmann
1938,"130 ""best of"" book lists",list details page
1939,River of Fire,Qurratulain Hyder
1940,The Beautyful Ones are Not Yet Born,Ayi K. Armah
1941,"Selected Poems, 1965-1975",Margaret Atwood
1942,The Physician,Noah Gordon
1943,The Farming of Bones,Edwidge Danticat
1944,Ecotopia,Ernest Callenbach
1945,Candida: a Pleasant Play,George Bernard Shaw
1946,Palace of the Peacock,Wilson Harris
1947,The Sea-Wolf,Jack London
1948,Mr. Sammler's Planet,Saul Bellow
1949,Brooklyn,Colm Tóibín
1950,Anecdotes of Destiny,Isak Dinesen
1951,World's Fair,E. L. Doctorow
1952,It: A Novel,Stephen King
1953,LaRose,Louise Erdrich
1954,All the Light We Cannot See,Anthony Doerr
1955,A Lesson Before Dying,Ernest J. Gaines
1956,Morte D'Urban,J. F. Powers
1957,Let the Great World Spin: A Novel,Colum McCann
1958,The Orphan Master's Son: A Novel,Adam Johnson
1959,The Echo Maker,Richard Powers
1960,Chimera,John Barth
1961,Burr,Gore Vidal
1962,The Collected Stories of Jean Stafford,Jean Stafford
1963,Breathing Lessons,Anne Tyler
1964,Empire Falls,Richard Russo
1965,Tales from the Kathasaritsagara,Somadeva
1966,Three Men in a Boat,Jerome K. Jerome
1967,Far Tortuga,Peter Matthiessen
1968,The Iron Heel,Jack London
1969,Twilight of the Superheroes,Deborah Eisenberg
1970,Killshot,Elmore Leonard
1971,Mislaid,Nell Zink
1972,The Railway Children,Edith Nesbit
1973,The Chronicles of Barsetshire,Anthony Trollope
1974,Swallows and Amazons,Arthur Ransome
1975,Where the Red Fern Grows,Wilson Rawls
1976,Flowers in the Attic,V. C. Andrews
1977,Swan Song,Robert R. McCammon
1978,The Vegetarian: A Novel,Han Kang
1979,The Ballad of Peckham Rye,Muriel Spark
1980,Ready Player One,Ernest Cline
1981,Looking for Alaska,John Green
1982,Ghost,Jason Reynolds
1983,Odes,John Keats
1984,Her Body and Other Parties: Stories,Carmen Maria Machado
1985,The Murders in the Rue Morgue,Edgar Allan Poe
1986,The Essential Dykes to Watch Out For,Alison Bechdel
1987,The Notebook,Nicholas Sparks
1988,Doña Bárbara,Rómulo Gallegos
1989,"130 ""best of"" book lists",list details page
1990,This Present Darkness,Frank Peretti
1991,The Wheel of Time Series,Robert Jordan
1992,Jonathan Livingston Seagull,Richard Bach
1993,The Hunt for Red October,Tom Clancy
1994,Petals of blood,Ngugi wa Thiong'o
1995,The Wine of Astonishment,Earl Lovelace
1996,Red Dragon,Thomas Harris
1997,The Shack,William P Young
1998,Left Behind,Tim LaHaye
1999,The Mind Invaders,Dave Hunt
2000,"I, Alex Cross",James Patterson
2001,Histoire de Babar,Jean de Brunhoff
2002,The Plantagenet Saga,Jean Plaidy
2003,Hatchet,Gary Paulsen
2004,Watchers,Dean R. Koontz
2005,The Coldest Winter Ever,Sister Souljah
2006,Homesick for Another World,Ottessa Moshfegh
2007,The Real Life of Alejandro Mayta,Mario Vargas Llosa
2008,American Innovations,Rivka Galchen
2009,Nothing Like the Sun,Anthony Burgess
2010,Petersburg,Andrei Bely
2011,Beat the Devil,Claud Cockburn
2012,The Indian Lawyer,James Welch
2013,The White Hotel,D. M. Thomas
2014,The Ordeal of Gilbert Pinfold,Evelyn Waugh
2015,Light Years,James Salter
2016,The Almanac of the Dead,Leslie Marmon Silko
2017,Moravagine,Blaise Cendrars
2018,Novel on Yellow Paper,Stevie Smith
2019,Stranger Things Happen,Kelly Link
2020,A Feast of Snakes,Harry Crews
2021,The Narrative of Arthur Gordon Pym,Edgar Allan Poe
2022,Vida,Marge Piercy
2023,The Manuscript Found in Saragossa,Jan Potocki
2024,Flatland: A Romance of Many Dimensions,Edwin A. Abbott
2025,A Canticle for Leibowitz,Walter M. Miller
2026,A Place of Greater Safety,Hilary Mantel
2027,Animal Dreams,Barbara Kingsolver
2028,The Mask of Dimitrios,Eric Ambler
2029,Mrs Palfrey at the Claremont,Elizabeth Taylor
2030,Sea of Poppies,Amitav Ghosh
2031,Our Lady of the Flowers,Jean Genet
2032,Julian,Gore Vidal
2033,The BFG,Roald Dahl
2034,The Killer Inside Me,Jim Thompson
2035,An American Dream,Norman Mailer
2036,As You Like it,William Shakespeare
2037,The Bloody Chamber And Other Stories,Angela Carter
2038,Kidnapped,Robert Louis Stevenson
2039,The Glass Menagerie,Tennessee Williams
2040,"130 ""best of"" book lists",list details page
2041,Venus in Furs,Leopold Von Sacher-Masoch
2042,Ceremony,Leslie Marmon Silko
2043,Julius Caesar,William Shakespeare
2044,The Poems of Sappho,Sappho
2045,Party Going,Henry Green
2046,Gogol's Wife,Tommaso Landolfi
2047,The Poems of Wilfred Owen,Wilfred Owen
2048,The Sportswriter ,Richard Ford
2049,The Assistant,Bernard Malamud
2050,Selected Stories,D. H. Lawrence
2051,Selected Poems of Lord Byron,Lord Byron
2052,If He Hollers Let Him Go,Chester Himes
2053,Matterhorn,Karl Marlantes
2054,The Last Good Kiss,James Crumley
2055,The Storyteller,Mario Vargas Llosa
2056,Ray,Barry Hannah
2057,Tripmaster Monkey,Maxine Hong Kingston
2058,The Golden Gate,Vikram Seth
2059,O Pioneers!,Willa Cather
2060,Gateway,Frederik Pohl
2061,Machine Dreams,Jayne Anne Phillips
2062,Two Serious Ladies,Jane Bowles
2063,The Bostonians,Henry James
2064,Mr. American,George MacDonald Fraser
2065,The Dogs of March,Ernest Hebert
